;address;area;metr_price;price;url
0;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12;17.1 м²;115 200 ₽ за м²/год;164 160 ₽/мес;https://www.cian.ru/rent/commercial/263310459/
1;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12;20.9 м²;100 800 ₽ за м²/год;175 560 ₽/мес;https://www.cian.ru/rent/commercial/263310459/
2;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12;24.1 м²;113 760 ₽ за м²/год;228 468 ₽/мес;https://www.cian.ru/rent/commercial/263310459/
3;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12;28.8 м²;108 000 ₽ за м²/год;259 200 ₽/мес;https://www.cian.ru/rent/commercial/263310459/
4;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12;42 м²;100 800 ₽ за м²/год;352 800 ₽/мес;https://www.cian.ru/rent/commercial/263310459/
5;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12;57.5 м²;108 000 ₽ за м²/год;517 500 ₽/мес;https://www.cian.ru/rent/commercial/263310459/
6;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12;100.3 м²;108 000 ₽ за м²/год;902 700 ₽/мес;https://www.cian.ru/rent/commercial/263310459/
7;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12;118.1 м²;100 800 ₽ за м²/год;992 040 ₽/мес;https://www.cian.ru/rent/commercial/263310459/
8;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12;128 м²;110 493 ₽ за м²/год;1 178 592 ₽/мес;https://www.cian.ru/rent/commercial/263310459/
9;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 10;39 м²;129 231 ₽ за м²/год;420 000 ₽/мес;https://www.cian.ru/rent/commercial/263317887/
10;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 10;45 м²;96 000 ₽ за м²/год;360 000 ₽/мес;https://www.cian.ru/rent/commercial/263317887/
11;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 10;79 м²;91 139 ₽ за м²/год;600 000 ₽/мес;https://www.cian.ru/rent/commercial/263317887/
12;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 10;108 м²;86 667 ₽ за м²/год;780 000 ₽/мес;https://www.cian.ru/rent/commercial/263317887/
13;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 10;112 м²;109 286 ₽ за м²/год;1 020 000 ₽/мес;https://www.cian.ru/rent/commercial/263317887/
14;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 10;258.6 м²;80 742 ₽ за м²/год;1 740 000 ₽/мес;https://www.cian.ru/rent/commercial/263317887/
15;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 10;494.8 м²;58 205 ₽ за м²/год;2 400 000 ₽/мес;https://www.cian.ru/rent/commercial/263317887/
16;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 10с2;20 м²;90 000 ₽ за м²/год;150 000 ₽/мес;https://www.cian.ru/rent/commercial/263239311/
17;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 10с2;42 м²;71 429 ₽ за м²/год;250 000 ₽/мес;https://www.cian.ru/rent/commercial/263239311/
18;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 10с2;56.3 м²;63 943 ₽ за м²/год;300 000 ₽/мес;https://www.cian.ru/rent/commercial/263239311/
19;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 10с2;68.7 м²;73 362 ₽ за м²/год;420 000 ₽/мес;https://www.cian.ru/rent/commercial/263239311/
20;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 10с2;120 м²;50 000 ₽ за м²/год;500 000 ₽/мес;https://www.cian.ru/rent/commercial/263239311/
21;Москва, СЗАО, р-н Хорошево-Мневники, Причальный проезд, 2;24.7 м²;45 000 ₽ за м²/год;92 625 ₽/мес;https://www.cian.ru/rent/commercial/265519391/
22;Москва, СЗАО, р-н Хорошево-Мневники, Причальный проезд, 2;70 м²;35 000 ₽ за м²/год;204 167 ₽/мес;https://www.cian.ru/rent/commercial/265519391/
23;Москва, СЗАО, р-н Хорошево-Мневники, Причальный проезд, 2;80 м²;35 000 ₽ за м²/год;233 334 ₽/мес;https://www.cian.ru/rent/commercial/265519391/
24;Москва, СЗАО, р-н Хорошево-Мневники, Причальный проезд, 2;200 м²;35 000 ₽ за м²/год;583 334 ₽/мес;https://www.cian.ru/rent/commercial/265519391/
25;Москва, СЗАО, р-н Хорошево-Мневники, Причальный проезд, 2;300 м²;30 000 ₽ за м²/год;750 000 ₽/мес;https://www.cian.ru/rent/commercial/265519391/
26;Москва, СЗАО, р-н Хорошево-Мневники, Причальный проезд, 2;600 м²;30 000 ₽ за м²/год;1 500 000 ₽/мес;https://www.cian.ru/rent/commercial/265519391/
27;Москва, СЗАО, р-н Хорошево-Мневники, Причальный проезд, 2;1274.7 м²;30 000 ₽ за м²/год;3 186 750 ₽/мес;https://www.cian.ru/rent/commercial/265519391/
28;Москва, ВАО, р-н Соколиная гора, Большая Семеновская ул., 10;18.5 м²;24 000 ₽ за м²/год;37 000 ₽/мес;https://www.cian.ru/rent/commercial/227898461/
29;Москва, ВАО, р-н Соколиная гора, Большая Семеновская ул., 10;34.8 м²;20 700 ₽ за м²/год;60 030 ₽/мес;https://www.cian.ru/rent/commercial/227898461/
30;Москва, ВАО, р-н Соколиная гора, Большая Семеновская ул., 10;39.2 м²;15 306 ₽ за м²/год;50 000 ₽/мес;https://www.cian.ru/rent/commercial/227898461/
31;Москва, ВАО, р-н Соколиная гора, Большая Семеновская ул., 10;160 м²;12 000 ₽ за м²/год;160 000 ₽/мес;https://www.cian.ru/rent/commercial/227898461/
32;Москва, ВАО, р-н Соколиная гора, Большая Семеновская ул., 10;300 м²;24 000 ₽ за м²/год;600 000 ₽/мес;https://www.cian.ru/rent/commercial/227898461/
33;Москва, ВАО, р-н Соколиная гора, Большая Семеновская ул., 10;308.5 м²;36 000 ₽ за м²/год;925 500 ₽/мес;https://www.cian.ru/rent/commercial/227898461/
34;Москва, ВАО, р-н Соколиная гора, Большая Семеновская ул., 10;342.5 м²;15 800 ₽ за м²/год;450 959 ₽/мес;https://www.cian.ru/rent/commercial/227898461/
35;Москва, ВАО, р-н Соколиная гора, Большая Семеновская ул., 10;855 м²;12 000 ₽ за м²/год;855 000 ₽/мес;https://www.cian.ru/rent/commercial/227898461/
36;Москва, ВАО, р-н Соколиная гора, Большая Семеновская ул., 10;1015 м²;12 000 ₽ за м²/год;1 015 000 ₽/мес;https://www.cian.ru/rent/commercial/227898461/
37;Москва, ВАО, р-н Соколиная гора, Большая Семеновская ул., 10С13;855 м²;12 000 ₽ за м²/год;855 000 ₽/мес;https://www.cian.ru/rent/commercial/243644580/
38;Москва, ВАО, р-н Соколиная гора, Большая Семеновская ул., 10С13;1015 м²;12 000 ₽ за м²/год;1 015 000 ₽/мес;https://www.cian.ru/rent/commercial/243644580/
39;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12;18.8 м²;103 979 ₽ за м²/год;162 900 ₽/мес;https://www.cian.ru/rent/commercial/259674224/
40;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12;20.9 м²;104 004 ₽ за м²/год;181 140 ₽/мес;https://www.cian.ru/rent/commercial/259674224/
41;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12;27.7 м²;122 729 ₽ за м²/год;283 300 ₽/мес;https://www.cian.ru/rent/commercial/259674224/
42;Москва, ЦАО, р-н Тверской, Тверская ул., 8к1;100 м²;54 000 ₽ за м²/год;450 000 ₽/мес;https://www.cian.ru/rent/commercial/268532797/
43;Москва, ЦАО, р-н Тверской, Тверская ул., 8к1;200 м²;51 000 ₽ за м²/год;850 000 ₽/мес;https://www.cian.ru/rent/commercial/268532797/
44;Москва, ЦАО, р-н Тверской, Тверская ул., 8к1;300 м²;48 000 ₽ за м²/год;1 200 000 ₽/мес;https://www.cian.ru/rent/commercial/268532797/
45;Москва, ЦАО, р-н Замоскворечье, Большая Татарская ул., 20С2;26 м²;120 000 ₽ за м²/год;260 000 ₽/мес;https://www.cian.ru/rent/commercial/244832056/
46;Москва, ЦАО, р-н Замоскворечье, Большая Татарская ул., 20С2;37.5 м²;120 000 ₽ за м²/год;375 000 ₽/мес;https://www.cian.ru/rent/commercial/244832056/
47;Москва, ЦАО, р-н Замоскворечье, Большая Татарская ул., 20С2;129 м²;102 000 ₽ за м²/год;1 096 500 ₽/мес;https://www.cian.ru/rent/commercial/244832056/
48;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 10с2;56.3 м²;55 631 ₽ за м²/год;261 000 ₽/мес;https://www.cian.ru/rent/commercial/267115624/
49;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 10с2;68.7 м²;63 581 ₽ за м²/год;364 001 ₽/мес;https://www.cian.ru/rent/commercial/267115624/
50;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 10с2;120 м²;48 000 ₽ за м²/год;480 000 ₽/мес;https://www.cian.ru/rent/commercial/267115624/
51;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 10с2;168 м²;48 000 ₽ за м²/год;672 000 ₽/мес;https://www.cian.ru/rent/commercial/267115624/
52;Москва, ЮЗАО, р-н Южное Бутово, бул. Адмирала Ушакова, 11;100 м²;13 200 ₽ за м²/год;110 000 ₽/мес;https://www.cian.ru/rent/commercial/247112235/
53;Москва, ЮЗАО, р-н Южное Бутово, бул. Адмирала Ушакова, 11;150 м²;12 800 ₽ за м²/год;160 000 ₽/мес;https://www.cian.ru/rent/commercial/247112235/
54;Москва, ЮЗАО, р-н Южное Бутово, бул. Адмирала Ушакова, 11;250 м²;12 240 ₽ за м²/год;255 000 ₽/мес;https://www.cian.ru/rent/commercial/247112235/
55;Москва, ЮЗАО, р-н Южное Бутово, бул. Адмирала Ушакова, 11;400 м²;12 180 ₽ за м²/год;406 000 ₽/мес;https://www.cian.ru/rent/commercial/247112235/
56;Москва, ЮЗАО, р-н Южное Бутово, бул. Адмирала Ушакова, 11;200 м²;18 000 ₽ за м²/год;300 000 ₽/мес;https://www.cian.ru/rent/commercial/247112235/
57;Москва, ЦАО, р-н Тверской, ул. Петровские Линии, 2;100 м²;144 000 ₽ за м²/год;1 200 000 ₽/мес;https://www.cian.ru/rent/commercial/263910724/
58;Москва, ЦАО, р-н Тверской, ул. Петровские Линии, 2;150 м²;128 000 ₽ за м²/год;1 600 000 ₽/мес;https://www.cian.ru/rent/commercial/263910724/
59;Москва, ЦАО, р-н Тверской, ул. Каретный Ряд, 5/10С2;245 м²;29 388 ₽ за м²/год;600 000 ₽/мес;https://www.cian.ru/rent/commercial/262046475/
60;Москва, ЦАО, р-н Тверской, ул. Каретный Ряд, 5/10С2;373 м²;23 164 ₽ за м²/год;720 000 ₽/мес;https://www.cian.ru/rent/commercial/262046475/
61;Москва, ВАО, р-н Метрогородок, Тагильская ул., 4А;49.4 м²;36 437 ₽ за м²/год;150 000 ₽/мес;https://www.cian.ru/rent/commercial/260042187/
62;Москва, ВАО, р-н Метрогородок, Тагильская ул., 4А;55 м²;34 909 ₽ за м²/год;160 000 ₽/мес;https://www.cian.ru/rent/commercial/260042187/
